82.13772082328796,17,complete
84.31318187713623,49,complete
88.68730068206787,60,complete
101.78999495506287,42,complete
113.69869780540466,45,complete
161.92058396339417,16,complete
173.92702889442444,20,complete
192.65708899497986,19,complete
198.7064356803894,34,complete
220.7539038658142,11,complete
238.67522478103638,57,complete
282.64658784866333,29,complete
296.17203998565674,13,complete
323.5885660648346,14,complete
326.3572208881378,18,complete
327.70129895210266,2,complete
374.414413690567,25,complete
384.16142892837524,22,complete
414.59060883522034,28,complete
429.4903688430786,55,complete
445.92504596710205,44,complete
481.2285349369049,9,complete
508.4117407798767,46,complete
509.7179048061371,58,complete
520.6701948642731,8,complete
564.1514139175415,4,complete
608.1288497447968,36,complete
623.4298088550568,52,complete
623.5209279060364,43,complete
632.5928137302399,6,complete
647.2132768630981,59,complete
706.219447851181,63,complete
713.6270189285278,26,complete
733.614902973175,1,complete
735.4582238197327,32,complete
776.4326887130737,7,complete
800.6638898849487,51,complete
813.5604627132416,24,complete
845.2365028858185,10,complete
846.5570387840271,39,complete
885.712052822113,0,complete
915.6280539035797,41,complete
916.5685827732086,53,complete
937.6643488407135,62,complete
973.4503259658813,5,complete
991.1025998592377,23,complete
999.7675738334656,48,complete
1005.292210817337,30,complete
1064.9223809242249,37,complete
1088.121822834015,33,complete
1102.0815148353577,61,complete
1120.727154970169,38,complete
1121.944977760315,12,complete
1141.7048177719116,27,complete
1181.7030227184296,56,complete
1212.33522772789,15,complete
1212.9802277088165,50,complete
1231.4182257652283,3,complete
1252.8497557640076,40,complete
1296.121307849884,35,complete
1311.5288619995117,21,complete
1312.1919848918915,54,complete
1316.095461845398,31,complete
1337.596397638321,47,complete
